id;number;date;due_date;amount;status
1;INV-1001;2025-01-15T10:00:00Z;2025-02-15T10:00:00Z;1500.00;DRAFT
2;INV-1002;2025-02-01T08:30:00Z;2025-03-01T08:30:00Z;2750.50;SENT
3;INV-1003;2025-03-10T14:00:00Z;2025-04-10T14:00:00Z;320.75;PAID
4;INV-1004;2025-04-05T09:15:00Z;2025-05-05T09:15:00Z;8900.00;OVERDUE
5;INV-1005;2025-05-20T11:45:00Z;2025-06-20T11:45:00Z;450.25;DRAFT
6;INV-1006;2025-06-12T16:00:00Z;2025-07-12T16:00:00Z;12000.00;SENT
7;INV-1007;2025-07-01T07:00:00Z;2025-08-01T07:00:00Z;675.80;PAID
8;INV-1008;2025-08-18T13:30:00Z;2025-09-18T13:30:00Z;3200.00;OVERDUE
9;INV-1009;2025-09-25T10:00:00Z;2025-10-25T10:00:00Z;995.50;DRAFT
10;INV-1010;2025-10-30T15:00:00Z;2025-11-30T15:00:00Z;5500.00;SENT
